ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-110373	2236109	Common Stock				6667.0				I	F4	Indirect Owner (The Watson Education Trust)	
0001104659-24-104288	2237373	Class B Common Stock				32635.0				I		By 401(K) Plan	
0001104659-24-104288	2237372	Class B Common Stock				397716.0				I		By Grantor Retained Annuity Trusts	
0001104659-24-104287	2237352	Class B Common Stock				92654.0				I		By 401(K) Plan	
0001883085-24-000143	2237005	Class A Ordinary Share				3741.0				D			
0001683168-24-006755	2237027	Common Stock				4130.0				I		By Spouse	F2
0001683168-24-006755	2237028	Common Stock				433159.0				I		Through 2022 Lebda Family Holdings, LLC	F3
0001683168-24-006755	2237030	Common Stock				12524.0				I		Through Lebda Family Holdings II, LLC	F3
0001683168-24-006755	2237031	Common Stock				300000.0				I		Through 2021 Lebda Family Holdings LLC	F3
0001683168-24-006755	2237029	Common Stock				1325000.0				I		Through Lebda Family Holdings, LLC	F3
0001213900-24-083347	2235741	Common Stock	F1			21250.0				D			
0002039448-24-000001	2235436	Limited Liability Membership Units				5.0	F1			D			
0001437749-24-030242	2236206	Common Stock				1744.71				I		Children	
0001127602-24-024567	2235503	Class A Common Stock				400000.0				I		By GC Investments LLC	F4
0001127602-24-024567	2235501	Class A Common Stock				187475.0				I		By The Dana Christ Irrevocable Trust Dated May 8, 2015	F3
0001127602-24-024567	2235502	Class A Common Stock				187475.0				I		By The Lauren Christ Irrevocable Trust Dated May 8, 2015	F3
0000046619-24-000070	2236950	Class A Common Stock				10488.0				I			
0000046619-24-000070	2236948	Common Stock				11333.0				I		By 409A Plan	F1
0000046619-24-000070	2236947	Common Stock				174154.0				D		By 409A Plan	F1
0000046619-24-000070	2236949	Class A Common Stock				6416.0				I		By Estate	F2
0000950170-24-110300	2236402	Common Stock				66560.0				I		By Havana 2020 GRAT	
0000950170-24-110300	2236401	Common Stock				860440.0				I		By Infinity Trusts Investment LLC	
0000950170-24-110300	2236403	Common Stock				151030.0				I		By Farhad F Ebrahimi Roth IRA	
0001085913-24-000016	2237134	Common Stock				1594.0				I		held in grantor trust est in connection with the Co's Non-Qual Retirement Plan	
0001225208-24-008871	2237039	Common Stock				47187.0				D			
0001225208-24-008870	2236120	Common Stock				19741.79	F1			D			
0001062993-24-017053	2236817	Humana Common				121.0				I			
0001062993-24-017053	2236816	Humana Common				11723.0	F11			D		See Footnote	F1
0001437749-24-030232	2237413	Common Stock				4416.0	F1			I		Horizon Kinetics Hard Assets II LLC	
0001437749-24-030232	2237415	Common Stock				16647.0	F1			I		CDK Fund Ltd	
0001437749-24-030232	2237416	Common Stock				180.0	F1			I		Spouse	
0001437749-24-030232	2237414	Common Stock				7452.0	F1			I		CDK Partners LP	
0001415889-24-024081	2235266	Common Stock				2126.97				I		JEPST Plan	
0001415889-24-024081	2235265	Common Stock				51.21				I		401(k) Plan	
0000029644-24-000113	2236843	Common Stock				1131.0				I		By Benefit Plan Trust	
0000029644-24-000113	2236844	Common Stock				1064.0				I		By Benefit Plan Trust.	
0000950170-24-110188	2236946	Common Shares				436.0				I			
0000950170-24-110188	2236944	Common Shares				1421.0				I		By Alexa M. Anderson Separate Trust	
0000950170-24-110188	2236943	Common Shares				71334.0				D		By Cameron Taff Anderson Separate Trust	
0000950170-24-110188	2236945	Common Shares				1421.0				I		By spouse	
0001398889-24-000193	2236473	Common Stock				2242.0	F2			D			
0001385613-24-000107	2235917	ORDINARY SHARES				25000.0				I		By Ian Isaacs IRA	
0001385613-24-000107	2235916	ORDINARY SHARES				25000.0				I		By Isaacs Living Trust	
0001332596-24-000006	2235465	Common Stock				4025000.0				D			
0001877255-24-000031	2234003	Common stock, $0.001 par value per share				894000.0				D		By Beowulf Electricity & Data Inc.	F3
0001877255-24-000031	2234004	Common stock, $0.001 par value per share				260513.0				I		By Heorot Power Holdings LLC	F4
0001877255-24-000031	2234005	Common stock, $0.001 par value per share				5000.0				I		By Lucky Liefern LLC	F5
0001877255-24-000031	2234006	Common stock, $0.001 par value per share				654706.0				I			
0000950170-24-110147	2233488	Common Stock				7000000.0				I		Held by GKCC, LLC	F1
0000950170-24-110145	2232134	Common Stock				56.0				I		By Abrie R. Richison 2012 Irrevocable Trust	F23
0000950170-24-110145	2232135	Common Stock				12500.0				I		By Charis Michelle Richison Trust	F24
0000950170-24-110145	2232132	Common Stock				253.0				I		By Ava L. Richison 2012 Irrevocable Trust	F21
0000950170-24-110145	2232126	Common Stock				1012.0				I		By Faye Penelope Richison 2023 Irrevocable Trust	F15
0000950170-24-110145	2232133	Common Stock				253.0				I		By Ian D. Richison 2012 Irrevocable Trust	F22
0000950170-24-110145	2232128	Common Stock				1012.0				I		By Lane West Richison 2022 Irrevocable Trust	F17
0000950170-24-110145	2232129	Common Stock				1012.0				I		By Kase Gabriel Richison 2022 Irrevocable Trust	F18
0000950170-24-110145	2232130	Common Stock				1012.0				I		By Sage Elizabeth Richison 2022 Irrevocable Trust	F19
0000950170-24-110145	2232131	Common Stock				1012.0				I		By Charles Banks Pedersen 2022 Irrevocable Trust	F20
0000950170-24-110145	2232127	Common Stock				1012.0				I		By Rome West Pedersen 2023 Irrevocable Trust	F16
0001818874-24-000220	2232028	Common Stock				15505.0				D			
0001671933-24-000105	2234804	Class A Common Stock				825216.0				I		See Footnote	F10
0001104659-24-103814	2232116	Class A Common Stock				200000.0				I			
0001104659-24-103814	2232114	Class A Common Stock				21638.0				D		Held by the Paul Liberman 2020 Irrevocable Trust	
0001104659-24-103814	2232115	Class A Common Stock				213597.0				I		Held by the Rachel Nager Liberman Irrevocable Trust - 2022	
0001415889-24-024079	2234027	Common Stock				73913.0				D			
0001437749-24-030214	2234277	Common Stock				70753.0	F2			I			
0001437749-24-030214	2234275	Common Stock				880406.0				D		By Li Zhang	
0001437749-24-030214	2234276	Common Stock				3800.0	F3			I		By the Judith L. Ganz Trust VA 04-23-2015	
0000950170-24-110135	2233639	Common Stock				5096.0	F2			I		By trust	
0000950170-24-110135	2233638	Common Stock				200.0				I		By Wife	
0000950170-24-110135	2233640	Common Stock				4000.0	F3			I		By trusts	
0000950170-24-110132	2233754	Common Stock				100962.0				I		By Stockbridge Partners LLC	F3
0000950170-24-110132	2233753	Common Stock				605376.0				I		By Stockbridge Fund, L.P.	F2
0000950170-24-110132	2233755	Common Stock				60246.0				I		By Family Trusts	F4
0001127602-24-024554	2232041	Common Stock				37501.0	F2			D			
0000950170-24-110110	2232108	Class B Common Stock				8000000.0				I		ECG II SPE, LLC	F10
0000950170-24-110110	2232106	Class B Common Stock				11834021.0				I		Ernest Irrevocable 2004 Trust III	F8
0000950170-24-110110	2232105	Class A Common Stock				950000.0				I		Ernest C. Garcia III Multi-Generational Trust III	F6
0000950170-24-110110	2232104	Class A Common Stock				850000.0				I		Ernest Irrevocable 2004 Trust III	F5
0000950170-24-110110	2232107	Class B Common Stock				11952000.0				I		Ernest C. Garcia III Multi-Generational Trust III	F9
0000950170-24-110107	2234254	Class C Capital Stock				120000.0				I		The RAPP 2024 Irrevocable Trust	F6
0000950170-24-110107	2234255	Class C Capital Stock				200000.0				I		The RAPP 2024 Grantor Retained Annuity Trust	F7
0001213900-24-082813	2232027	Common Stock				1992243.0				D			
0001213900-24-082812	2233935	Common Stock				10255343.0				D			
0001013237-24-000121	2235081	Common Stock				450.0				I		By Spouse	
0001553350-24-000121	2234504	Common Stock				1850000.0				I		See Footnote	F3
0001553350-24-000121	2234503	Common Stock				13572649.0				I		See Footnote	F2
0001733998-24-000113	2233001	No securities are beneficially owned.				0.0				D			
0001415889-24-024059	2232039	Common Shares				94120.0				I		Trust	F4
0001415889-24-024059	2232040	Common Shares				173750.0				D	F5		
0001415889-24-024059	2232038	Common Shares				229151.0				I		IRA Accounts	F3
0001493152-24-038573	2232091	Common Stock				18944.0	F3			I		Held by Anest Holdings Pty Ltd	F4
0001104659-24-103762	2233324	Common Stock, $0.001 par value				4596900.0				I			
0001104659-24-103762	2233321	Common Stock, $0.001 par value				1890.0	F1			D		See Footnote	F3
0001104659-24-103762	2233322	Common Stock, $0.001 par value				31573990.0				I		See Footnote	F4
0001104659-24-103762	2233323	Common Stock, $0.001 par value				12272030.0				I		See Footnote	F5
0000950170-24-110075	2232958	No securities are beneficially owned.				0.0				D			
0001628280-24-041487	2234733	Common Stock				186225.0				I	F2	See footnote	F2
0001628280-24-041487	2234734	Common Stock				186225.0				I	F3	See footnote	F3
0000950157-24-001315	2232684	Common Stock				90021804.0				I		By Amentum Joint Venture LP	F2, F1
0001493152-24-038557	2232058	Common Stock				14323.0	F1			D			
0001127602-24-024543	2233693	Common Stock				187.0				I		Webb Family Trust	
0001062993-24-017022	2234789	Common Stock				750.38				I		Retirement Savings Plan	
0001437749-24-030188	2232036	Common Stock				2470.0	F4			I		By spouse	
0001437749-24-030188	2232035	Common Stock				6000.0				I		Per EN US Retirement Savings Account	
0001437749-24-030188	2232034	Common Stock				1639.0				I		Per EN TFSA	
0001437749-24-030188	2232033	Common Stock				114670.0				I		Per EN RRSP	
0000950170-24-110028	2234716	Class C Capital Stock				312210.0				I		By Prabhakar Raghavan, Srilatha Raghavan, UA 01-12-2000 Raghavan Living Trust	
0001127602-24-024535	2232138	Common Stock				80500.0				I		By SLAT	
0001127602-24-024535	2232137	Common Stock				500.0				I		Trust	
0001127602-24-024535	2232136	Common Stock				1547.0				I		401(k) Plan	
0000752642-24-000099	2234692	UMH Properties, Inc.				11009.75	F2			I		Held with Spouse	
0000752642-24-000099	2234693	UMH Properties, Inc.				44200.25	F3			I		The Landy 2022 Family Trust	
0000752642-24-000099	2234694	UMH Properties, Inc.				47471.71	F4			I		Co-Manager of EWL Grandchildren Fund LLC	
0000752642-24-000099	2234691	UMH Properties, Inc.				1154825.85	F1			D		Held by Spouse	
0000752642-24-000099	2234695	UMH Properties, Inc.				48000.0				I			
0000016732-24-000155	2234597	Common Stock				103974.0				I		Trust for Daughter	F1
0000016732-24-000155	2234598	Common Stock				13230543.0				I		Contango Limited LP	F2
0000016732-24-000155	2234599	Common Stock				1333.0				I		Hera Management LLC	F3
0000016732-24-000154	2234497	Common Stock				450705.0				I		ADvB 2016 GRAT	
0000016732-24-000154	2234498	Common Stock				2857.0				I		Family management company	F1
0000016732-24-000154	2234499	Common Stock				3994.0				I		Family management company	F2
0000016732-24-000154	2234500	Common Stock				180000.0				I		Spousal Trust	F3
0001104659-24-103716	2232655	Common Stock, $0.001 par value				1191307.0				I		See footnotes	F3, F2, F1
0001104659-24-103716	2232654	7.875% Series D Preferred Stock				961293.0				I		See footnotes	F3, F2, F1
0001628280-24-041474	2232014	Common Stock				24364.0				I		Family Trust	F2
0001628280-24-041474	2232015	Common Stock				1000.0				I		Family Trust	F3
0001477449-24-000211	2233268	Common Stock				26469.0				D			
0001437749-24-030181	2233678	Common Stock				67619.0				I		By Spouse's IRA	
0001415889-24-024034	2234251	Common Stock				579247.0	F2			I		Estate of M. Richard Robinson	
0000950170-24-109994	2234966	Common Stock				5795364.0				I		See footnote	F6, F5
0001104659-24-103663	2233426	Common Stock				1000000.0				I		By Hodgson Ventures	F2
0001104659-24-103663	2233427	Common Stock				2669056.0				I		By Hodgson 2015 Grandchild's Trust	F3
0001104659-24-103663	2233428	Common Stock				100000.0				I		By Cusach, Inc.	F4
0000950170-24-109952	2232645	Class C Google Stock Units	F4			24352.0				D			
0000950170-24-109952	2232646	Class A Common Stock				8940.0				D			
0000752642-24-000097	2234396	UMH Properties, Inc. (Preferred D)				900.0				I			
0000752642-24-000097	2234393	UMH Properties, Inc.				37903.0				I		Samuel Landy Family LTD Partnership	
0000752642-24-000097	2234392	UMH Properties, Inc.				47471.71	F2			I		Juniper Plaza Associates, LTD.	
0000752642-24-000097	2234394	UMH Properties, Inc.				16220.0				I		Windsor Industrial Park Associates, LTD.	
0000752642-24-000097	2234395	UMH Properties, Inc.				24670.0				I		Windsor Industrial Park Associates, LTD.	
0000752642-24-000097	2234391	UMH Properties, Inc.				85521.81	F1			D		The Landy 2022 Family Trust	
0000752642-24-000096	2234899	UMH Properties, Inc.				119395.52	F1			D			
0000752642-24-000095	2233899	UMH Properties, Inc. (Preferred D)				337.0				D			
0000752642-24-000095	2233898	UMH Properties, Inc.				107026.34	F1			D			
0000752642-24-000094	2233443	UMH Properties, Inc.				1040235.69	F1			D			
0000950170-24-109916	2233332	Class C Google Stock Units	F5			32972.0				D			
0000950170-24-109916	2233331	Class C Google Stock Units	F4			93422.0				D			
0000752642-24-000093	2232121	UMH Properties, Inc.				283561.8	F3			I		Mitchell Portfolio Management	
0000950170-24-109905	2233880	Common Shares				45800.0				I		See footnote	F3
0000950170-24-109905	2233879	Common Shares				420238.0				I		See footnote	F2
0000950170-24-109901	2232053	Class R6 Common Shares				7783882.78				D			
0000752642-24-000092	2232501	UMH Properties, Inc.				5300.3	F3			I		Held by Spouse	
0000950170-24-109868	2233152	Common Stock				3968116.0				I		By Lead Edge Capital VI, LP	F2
0000950170-24-109868	2233153	Common Stock				4716552.0				I		By Lead Edge Public Fund, LP	F3
0000950170-24-109868	2233151	Common Stock				4107410.0				I		By Lead Edge Capital V, LP	F1
0001437749-24-030159	2232498	Cyanotech Corporation Common Stock				150000.0				I		By self as trustee for Nettizanne Johnstone Davis GST Exempt Trust	
0001437749-24-030159	2232496	Cyanotech Corporation Common Stock				12119.0				D		By Spouse	
0001437749-24-030159	2232500	Cyanotech Corporation Common Stock				58789.0				I			
0001437749-24-030159	2232499	Cyanotech Corporation Common Stock				58000.0				I		By self as trustee for Nyracai Johnstone Davis GST Exempt Trust	
0001437749-24-030159	2232497	Cyanotech Corporation Common Stock				31250.0				I		By self as co-trustee for the Nyracai Davis Irr. Trust and the Nettizanne J. Davis Irr. Trust	
0001104659-24-103557	2233992	CLASS A COMMON STOCK				42218.0				I		SEE FOOTNOTE	F5
0000950170-24-109810	2234541	Common Shares				251.81				I		By Spouse	
0000950170-24-109796	2233279	Capital Stock				434.0				I		spouse	
0001437749-24-030145	2234814	Common Stock				4416.0	F1			I		Horizon Kinetics Hard Assets II LLC	
0001437749-24-030145	2234815	Common Stock				7452.0	F1			I		CDK Partners LP	
0001437749-24-030145	2234816	Common Stock				16647.0	F1			I		CDK Fund Ltd	
0001437749-24-030145	2234817	Common Stock				180.0	F1			I		Spouse	
0000950170-24-109761	2233071	Common Shares				436.0				I		By spouse	
0000950170-24-109761	2233070	Common Shares				1421.0				I		By Alexa M. Anderson Separate Trust	
0000950170-24-109761	2233069	Common Shares				1421.0				I		By Cameron Taff Anderson Separate Trust	
0001127602-24-024528	2232803	Common Stock				1600898.0				D		By IRA-R	
0001127602-24-024528	2232805	Common Stock				17200.0				I			
0001127602-24-024528	2232804	Common Stock				234900.0				I		By IRA-T	
0001578563-24-000420	2235141	Common Stock				824688.0				D	F1		
0000313616-24-000218	2233309	No securities are beneficially owned				0.0				D			
0001127602-24-024521	2232022	Common Stock				189102.0				I			
0001127602-24-024521	2232021	Common Stock				90200.0				I		By Trust	
0001127602-24-024521	2232020	Common Stock				1157671.0				D		By family member	
0001127602-24-024518	2232070	Common Stock				20000.0				I		Trust-LTF	
0001127602-24-024518	2232069	Common Stock				1524609.0				D		Trust-GEF	
0001127602-24-024518	2232071	Common Stock				20000.0				I		Trust-MPF	
0001127602-24-024518	2232072	Common Stock				20000.0				I			
0001127602-24-024517	2234455	Common Stock				4500.0				I		By Trust	
0001127602-24-024517	2234454	Common Stock				13750.0				I		By Spouse	
0001127602-24-024517	2234452	Common Stock				2487830.0				I		By Oakmont Capital Inc	
0001127602-24-024517	2234453	Common Stock				29500.0				I		By Retirement Plan (R)	
0001127602-24-024516	2232025	Common Stock				2487830.0				I		By Oakmont Capital Inc.	
0001127602-24-024516	2232024	Common Stock				34750.0				I		By Retirement Plan	
0001127602-24-024515	2235161	Common Stock				2487830.0				D			
0000950170-24-109742	2233048	Common Shares				55443.0				I	F1	Held by Fourth Avenue Capital Partners LP	F2
0000950170-24-109742	2233052	Common Shares				2763126.0				I	F1	Held by QVT P&E Roiv Hldgs Ltd.	F2
0000950170-24-109742	2233051	Common Shares				6837266.0				I	F1	Held by QVT Roiv Hldgs Onshore Ltd.	F3
0000950170-24-109742	2233050	Common Shares				19311790.0				I	F1	Held by QVT Roiv Hldgs Offshore Ltd.	F3
0000950170-24-109742	2233049	Common Shares				14646796.0				I	F1	Held by QVT Deferred Compensation Holdings Ltd.	F2
0000950170-24-109740	2232233	Class C Capital Stock				60801.0				I		By Arete Trust, John Kent Walker and Diana Ruth Walsh, Trustees	
0001727689-24-000117	2234002	Common Shares				43477269.0				D	F3		
0001727689-24-000117	2234001	Common Shares				15234794.0				D	F2		
0001727689-24-000117	2234000	Common Shares				69699622.0				D	F1		
0001727689-24-000116	2232608	Common Shares				43477269.0				D	F3		
0001727689-24-000116	2232607	Common Shares				15234794.0				D	F2		
0001727689-24-000115	2232031	Common Shares				15234794.0				D	F2		
0001727689-24-000115	2232032	Common Shares				43477269.0				D	F3		
0001140361-24-042095	2234698	Common Stock				35000.0				I		By Family Trust 1	
0001140361-24-042095	2234699	Common Stock				28999.0				I			
0001140361-24-042095	2234696	Common Stock				1221394.0				D		By EMJ Remer Family Trust	
0001140361-24-042095	2234697	Common Stock				1000000.0				I		By Remer Family Trust	
0000950170-24-109725	2232030	Class A Common Stock				227560.0				D			
0000833640-24-000159	2232487	Common Stock				5754.0				D			
0001321655-24-000181	2232430	Class A Common Stock				53487.0	F7			I		See Footnote	F10
0001321655-24-000181	2232429	Class A Common Stock				20823993.0	F7			I		See Footnote	F9
0001321655-24-000181	2232428	Class A Common Stock				15733625.0	F7			I		See Footnote	F8
0001493152-24-038398	2232727	Common Stock				681.0				I		By spouse	
0001562180-24-006973	2232575	Class A Common Stock				8266666.0	F8			D		See Footnote	F9
0001562180-24-006973	2232576	Class A Common Stock				716728.0				I			
0001562180-24-006973	2232574	Class A Common Stock				444444.0				I		See Footnote	F7
0001415889-24-024004	2232750	Common Class A - Retirement Plan				0.0				D			
0001415889-24-024004	2232751	Common Class A				41496.0	F1			I		See Footnote	F1
0001415889-24-024004	2232752	Common Class A				7300.0	F2			I		See Footnote	F2
0000950170-24-109700	2232083	Common Stock				1012.0				I		By Lane West Richison 2022 Irrevocable Trust	F9
0000950170-24-109700	2232081	Common Stock				1012.0				I		By Faye Penelope Richison 2023 Irrevocable Trust	F7
0000950170-24-109700	2232082	Common Stock				1012.0				I		By Rome West Pedersen 2023 Irrevocable Trust	F8
0000950170-24-109700	2232090	Common Stock				12500.0				I		By Charis Michelle Richison Trust	F16
0000950170-24-109700	2232084	Common Stock				1012.0				I		By Kase Gabriel Richison 2022 Irrevocable Trust	F10
